ID,name,lat,long,Produtos Agícolas em kg(in),Produtos Agícolas em kg(out)
1,['Sé'],-23.5528487,-46.630715,3580.0,3262.0
2,['República'],-23.5451075,-46.642778,1242.0,0.0
3,"['Bom Retiro', 'Brás']",-23.5317045,-46.627328649999995,300.0,450.0
4,['Cambucí'],-23.5644729,-46.6211126,0.0,70.0
5,['Liberdade'],-23.5599169,-46.6312586,3000.0,0.0
6,"['Consolação', 'Bela Vista', ' Jd. Paulista']",-23.5604804,-46.65296993333334,4750.0,300.0
7,['Perdizes'],-23.5369017,-46.6743166,309.0,0.0
8,"['Santa Cecília', ' Barra Funda']",-23.53369455,-46.65912805,2885.0,0.0
9,"['Pari', ' Belém']",-23.53709855,-46.60130985,0.0,0.0
10,['Móoca'],-23.5603265,-46.5995903,2030.0,0.0
11,['Ipiranga'],-23.5880611,-46.6040369,68755.0,0.0
12,['Vila Mariana'],-23.589702,-46.6346381,2491.0,300.0
13,['Pinheiros'],-23.5635787,-46.6916068,18305.0,800.0
14,['Alto de Pinheiros'],-23.5532742,-46.7096303,8.0,0.0
15,['Lapa'],-23.5227337,-46.7114185,7250.0,3868.0
16,"['Limão', ' Freg. Do Ó']",-23.50447085,-46.684721399999994,2000.0,600.0
17,"['Santana', ' Casa Verde']",-23.5049919,-46.641516849999995,3200.0,0.0
18,"['V. Guilherme', ' V. Medeiros', ' V. Maria']",-23.5070724,-46.593686100000006,2000.0,0.0
19,"['São Mateus', ' Aricanduva']",-23.5906607,-46.49092645,5450.0,1000.0
20,"['Carrão', ' Tatuapé']",-23.5429374,-46.55687715,2075.0,0.0
21,"['Sapopemba', ' São Lucas', ' Água Rasa', ' V. Formosa', ' V. Prudente']",-23.57216288,-46.552939159999994,320.0,5.0
22,"['Cursino', 'Sacomã']",-23.60899345,-46.6112465,12.0,300.0
23,['Saúde'],-23.6183379,-46.6354972,4.0,12.0
24,['Moema'],-23.6020214,-46.6721032,4518.0,0.0
25,['Itaim Bibi'],-23.5837476,-46.6780743,146.0,0.0
26,['Vila Leopoldina'],-23.5324298,-46.7335886,1112907.0,389925.0
27,"['São Domingos', ' Jaguara']",-23.509189550000002,-46.74440205,229293.0,188128.0
28,"['Pirituba', ' Jaraguá']",-23.468306499999997,-46.74280885,4640.0,0.0
29,"['Mandaqui', 'Brasilândia', ' Cachoeirinha']",-23.472289333333336,-46.65707253333333,3190.0,0.0
30,"['Jaçanã', ' Tucuruví']",-23.4705124,-46.591115849999994,2005.0,50.0
31,"['Ermelini Matarazzo', ' Cangaíba']",-23.48737735,-46.499586300000004,2000.0,0.0
32,"['Penha', ' Ponte Rasa']",-23.51753975,-46.5220563,350.0,50.0
33,"['Artur Alvim', ' Cidade Lider', ' V. Matilde']",-23.547173833333332,-46.49026086666667,0.0,0.0
34,['Jabaquara'],-23.6396479,-46.6505173,633.0,216.0
35,['Campo Belo'],-23.6220296,-46.6720199,13.0,0.0
36,"['Butantã', ' Morumbí', ' Vila Sônia']",-23.58547636666667,-46.72444173333333,825.0,800.0
37,"['Jaguaré', ' Raposo Tavares', ' Rio Pequeno']",-23.567203799999998,-46.755821533333325,650.0,3430.0
38,"['Anhanguera', ' Perus']",-23.422485299999998,-46.7758787,2010.0,300.0
39,['Tremembé'],-23.4598631,-46.62547379999999,0.0,0.0
40,"['Vila Jacuí', ' V. Curuça', ' São Miguel', ' Jd. Helena', ' Itaim Paulista', ' Itaquera', ' Lageado', ' Guaianases']",-23.516919512500003,-46.42343975,12504.0,370.0
41,"['José Bonifácio', ' Pq. Do Carmo']",-22.3119443,-48.078078999999995,0.0,0.0
42,"['Cidade Tiradentes', ' Iguatemí', ' São Rafael']",-23.602461633333334,-46.51552373333334,0.0,0.0
43,['Santo Amaro'],-23.6536633,-46.7066927,25620.0,0.0
44,['Campo Grande'],-23.6780897,-46.6872368,0.0,0.0
45,"['Campo Límpo', ' Capão Redondo', ' Jd. Angela']",-23.668684833333334,-46.76438329999999,2800.0,0.0
46,"['Cidade Ademar', ' Cidade Dutra', ' Pedreira', ' Socorro']",-23.178562975,-46.696195425,2100.0,0.0
47,"['V. Andrade', 'Jd. São Luiz']",-23.7222578,-46.7345773,41202.0,300.0
48,"['Pedreira', ' Cidade Ademar']",-23.20602875,-46.77629215,0.0,0.0
49,"['Grajaú', ' Marsilac', ' Parelheiros']",-23.827169666666666,-46.703473333333335,120.0,300.0
